SB,0,45,90,135,180,225,270,315
1,9.26,12.88,16.49,8.76,1.03,2.24,3.45,6.36
2,11.54,13.43,15.32,9.29,3.26,7.81,12.36,11.95
3,13.57,15.55,17.52,10.69,3.85,6.94,10.02,11.80
4,9.86,8.69,7.51,4.83,2.15,5.29,8.43,9.15
5,10.56,8.51,6.45,6.60,6.75,6.92,7.08,8.82
6,5.84,3.97,2.09,2.42,2.74,3.10,3.46,4.65
7,3.91,3.28,2.64,2.54,2.43,3.30,4.16,4.04
8,14.23,14.68,15.12,13.38,11.63,9.61,7.59,10.91
9,15.05,13.06,11.07,7.66,4.25,9.94,15.62,15.34
10,4.26,3.08,1.89,1.58,1.26,1.58,1.89,3.08
11,2.45,2.66,2.86,2.21,1.56,2.11,2.66,2.56
12,6.25,6.99,7.73,5.44,3.15,5.69,8.23,7.24
13,6.55,7.40,8.24,4.68,1.12,4.08,7.04,6.80
14,1.25,1.07,0.88,1.11,1.33,1.67,2.01,1.63
15,5.58,5.77,5.96,4.71,3.46,4.31,5.16,5.37
16,3.17,2.24,1.31,1.37,1.42,1.64,1.85,2.51
17,1.05,0.85,0.64,0.44,0.24,0.86,1.48,1.27
18,0.86,0.51,0.15,0.21,0.26,0.67,1.07,0.97
19,2.11,1.23,0.35,1.35,2.34,2.11,1.87,1.99
20,0.75,0.49,0.22,0.93,1.64,1.37,1.10,0.93
21,0.71,0.52,0.33,0.28,0.22,0.75,1.28,1.00
22,1.69,1.06,0.42,0.36,0.29,0.57,0.84,1.27
23,0.88,0.71,0.54,0.46,0.38,0.56,0.74,0.81
24,13.64,13.15,12.65,10.45,8.25,10.77,13.29,13.47
25,14.28,13.31,12.33,11.57,10.81,11.09,11.37,12.83
26,8.26,9.04,9.81,7.79,5.76,7.30,8.83,8.55
27,8.44,8.08,7.72,6.46,5.19,7.17,9.14,8.79
28,9.52,8.33,7.14,6.72,6.29,6.12,5.94,7.73
29,5.56,6.08,6.59,4.90,3.21,3.88,4.55,5.06
30,8.46,9.17,9.88,8.97,8.05,7.93,7.81,8.14
31,4.85,4.92,4.99,3.46,1.92,4.81,7.69,6.27
32,2.22,2.67,3.11,2.47,1.83,3.23,4.62,3.42
33,4.26,3.67,3.08,1.81,0.54,1.47,2.39,3.33
34,3.05,2.85,2.65,2.20,1.74,2.34,2.94,3.00
35,1.89,1.43,0.96,0.61,0.25,0.54,0.82,1.36
36,1.67,1.24,0.80,0.51,0.22,0.58,0.93,1.30
37,1.44,1.03,0.62,0.53,0.43,0.56,0.68,1.06
38,7.58,7.10,6.61,6.92,7.22,6.68,6.13,6.86
39,7.88,7.17,6.45,7.17,7.89,7.97,8.04,7.96
40,9.42,9.85,10.28,8.77,7.26,7.03,6.79,8.11
41,6.88,7.40,7.91,7.07,6.23,6.16,6.08,6.48
42,6.69,6.95,7.20,6.82,6.44,7.11,7.78,7.24
43,5.26,4.55,3.84,2.96,2.08,2.92,3.75,4.51
44,7.56,7.11,6.66,5.98,5.29,6.24,7.19,7.38
45,2.46,2.02,1.58,1.02,0.46,0.72,0.97,1.72
46,1.4,1.13,0.85,0.58,0.31,0.37,0.42,0.91
47,1.16,0.93,0.69,0.52,0.35,0.32,0.28,0.72
48,1.48,1.26,1.03,0.72,0.41,0.35,0.28,0.88
49,1.65,1.29,0.92,0.73,0.53,0.49,0.44,1.05
50,0.95,0.90,0.84,0.68,0.52,0.45,0.38,0.67
51,0.85,0.71,0.56,0.52,0.47,0.40,0.33,0.59
52,0.67,0.60,0.53,0.48,0.42,0.40,0.38,0.53
53,0.65,0.57,0.48,0.44,0.40,0.39,0.38,0.52
54,0.75,0.58,0.41,0.59,0.77,1.01,1.25,1.00
55,0.6,0.51,0.42,0.76,1.09,0.96,0.82,0.71
56,0.81,0.64,0.46,0.61,0.76,0.90,1.03,0.92
57,0.75,0.62,0.48,0.71,0.94,0.83,0.72,0.74
58,0.72,0.60,0.48,0.76,1.03,0.91,0.79,0.76
59,0.7,0.58,0.46,0.77,1.08,0.93,0.77,0.74
60,0.88,0.69,0.50,0.82,1.14,0.98,0.81,0.85
