Date,julian_d,SR
1/1/2019,1,6.802
1/2/2019,2,4.42
1/3/2019,3,1.295
1/4/2019,4,2.258
1/5/2019,5,2.268
1/6/2019,6,2.442
1/7/2019,7,2.163
1/8/2019,8,1.73
1/9/2019,9,1.759
1/10/2019,10,3.506
1/11/2019,11,4.176
1/12/2019,12,6.811
1/13/2019,13,7.846
1/14/2019,14,7.952
1/15/2019,15,3.251
1/16/2019,16,2.791
1/17/2019,17,2.471
1/18/2019,18,1.248
1/19/2019,19,3.769
1/20/2019,20,1.926
1/21/2019,21,6.515
1/22/2019,22,1.42
1/23/2019,23,4.175
1/24/2019,24,4.72
1/25/2019,25,6.589
1/26/2019,26,4.9
1/27/2019,27,2.121
1/28/2019,28,6.969
1/29/2019,29,9.399
1/30/2019,30,9.503
1/31/2019,31,9.16
2/1/2019,32,2.028
2/2/2019,33,6.503
2/3/2019,34,5.481
2/4/2019,35,4.217
2/5/2019,36,5.261
2/6/2019,37,9.925
2/7/2019,38,8.328
2/8/2019,39,4.707
2/9/2019,40,4.229
2/10/2019,41,7.362
2/11/2019,42,1.53
2/12/2019,43,1.857
2/13/2019,44,5.388
2/14/2019,45,1.667
2/15/2019,46,3.488
2/16/2019,47,4.656
2/17/2019,48,6.827
2/18/2019,49,6.963
2/19/2019,50,4.644
2/20/2019,51,7.043
2/21/2019,52,13.479
2/22/2019,53,4.893
2/23/2019,54,5.755
2/24/2019,55,4.51
2/25/2019,56,3.124
2/26/2019,57,11.484
2/27/2019,58,3.186
2/28/2019,59,6.87
3/1/2019,60,9.086
3/2/2019,61,12.899
3/3/2019,62,13.477
3/4/2019,63,13.443
3/5/2019,64,11.297
3/6/2019,65,4.029
3/7/2019,66,10.106
3/8/2019,67,3.943
3/9/2019,68,10.866
3/10/2019,69,14.545
3/11/2019,70,12.123
3/12/2019,71,14.452
3/13/2019,72,11.472
3/14/2019,73,13.363
3/15/2019,74,14.652
3/16/2019,75,12.57
3/17/2019,76,17.033
3/18/2019,77,17.617
3/19/2019,78,16.851
3/20/2019,79,16.165
3/21/2019,80,7.172
3/22/2019,81,6.044
3/23/2019,82,9.804
3/24/2019,83,13.998
3/25/2019,84,3.674
3/26/2019,85,17.531
3/27/2019,86,5.241
3/28/2019,87,15.784
3/29/2019,88,16.532
3/30/2019,89,20.151
3/31/2019,90,17.567
4/1/2019,91,8.899
4/2/2019,92,7.149
4/3/2019,93,10.472
4/4/2019,94,7.583
4/5/2019,95,9.639
4/6/2019,96,13.827
4/7/2019,97,4.026
4/8/2019,98,8.791
4/9/2019,99,14.09
4/10/2019,100,8.828
4/11/2019,101,10.068
4/12/2019,102,17.089
4/13/2019,103,7.221
4/14/2019,104,11.089
4/15/2019,105,8.639
4/16/2019,106,9.806
4/17/2019,107,14.404
4/18/2019,108,18.82
4/19/2019,109,5.582
4/20/2019,110,20.371
4/21/2019,111,16.365
4/22/2019,112,12.914
4/23/2019,113,15.161
4/24/2019,114,23.644
4/25/2019,115,20.787
4/26/2019,116,24.244
4/27/2019,117,22.086
4/28/2019,118,25.191
4/29/2019,119,24.041
4/30/2019,120,25.498
5/1/2019,121,26.204
5/2/2019,122,23.939
5/3/2019,123,23.827
5/4/2019,124,25.329
5/5/2019,125,26.18
5/6/2019,126,26.093
5/7/2019,127,25.784
5/8/2019,128,25.222
5/9/2019,129,26.601
5/10/2019,130,27.408
5/11/2019,131,26.541
5/12/2019,132,23.266
5/13/2019,133,21.513
5/14/2019,134,12.537
5/15/2019,135,8.559
5/16/2019,136,7.437
5/17/2019,137,14.924
5/18/2019,138,16.022
5/19/2019,139,12.898
5/20/2019,140,11.695
5/21/2019,141,21.826
5/22/2019,142,25.01
5/23/2019,143,25.781
5/24/2019,144,17.369
5/25/2019,145,7.029
5/26/2019,146,25.247
5/27/2019,147,20.02
5/28/2019,148,18.228
5/29/2019,149,24.754
5/30/2019,150,26.3
5/31/2019,151,27.973
6/1/2019,152,28.912
6/2/2019,153,28.534
6/3/2019,154,29.313
6/4/2019,155,29.918
6/5/2019,156,11.194
6/6/2019,157,18.791
6/7/2019,158,22.768
6/8/2019,159,23.198
6/9/2019,160,29.064
6/10/2019,161,28.933
6/11/2019,162,29.629
6/12/2019,163,26.662
6/13/2019,164,29.76
6/14/2019,165,29.324
6/15/2019,166,27.359
6/16/2019,167,28.932
6/17/2019,168,29.186
6/18/2019,169,29.329
6/19/2019,170,24.071
6/20/2019,171,20.005
6/21/2019,172,20.984
6/22/2019,173,20.665
6/23/2019,174,17.674
6/24/2019,175,23.899
6/25/2019,176,20.611
6/26/2019,177,20.878
6/27/2019,178,9.938
6/28/2019,179,24.924
6/29/2019,180,29.24
6/30/2019,181,28.792
7/1/2019,182,20.665
7/2/2019,183,12.242
7/3/2019,184,17.333
7/4/2019,185,27.578
7/5/2019,186,17.088
7/6/2019,187,10.242
7/7/2019,188,21.766
7/8/2019,189,25.281
7/9/2019,190,11.235
7/10/2019,191,12.566
7/11/2019,192,21.649
7/12/2019,193,25.522
7/13/2019,194,22.165
7/14/2019,195,27.907
7/15/2019,196,14.333
7/16/2019,197,21.929
7/17/2019,198,13.168
7/18/2019,199,24.95
7/19/2019,200,25.957
7/20/2019,201,28.349
7/21/2019,202,27.82
7/22/2019,203,27.952
7/23/2019,204,21.972
7/24/2019,205,27.777
7/25/2019,206,28.053
7/26/2019,207,27.25
7/27/2019,208,20.894
7/28/2019,209,27.641
7/29/2019,210,27.401
7/30/2019,211,20.869
7/31/2019,212,26.144
8/1/2019,213,25.947
8/2/2019,214,11.575
8/3/2019,215,25.882
8/4/2019,216,25.408
8/5/2019,217,24.8
8/6/2019,218,24.698
8/7/2019,219,14.613
8/8/2019,220,8.597
8/9/2019,221,17.69
8/10/2019,222,13.861
8/11/2019,223,16.171
8/12/2019,224,24.77
8/13/2019,225,24.715
8/14/2019,226,24.247
8/15/2019,227,24.837
8/16/2019,228,20.167
8/17/2019,229,12.154
8/18/2019,230,21.253
8/19/2019,231,21.723
8/20/2019,232,20.112
8/21/2019,233,9.28
8/22/2019,234,24.355
8/23/2019,235,22.602
8/24/2019,236,20.622
8/25/2019,237,23.249
8/26/2019,238,23.829
8/27/2019,239,23.966
8/28/2019,240,22.489
8/29/2019,241,13.418
8/30/2019,242,14.163
8/31/2019,243,16.856
9/1/2019,244,20.819
9/2/2019,245,21.506
9/3/2019,246,19.4
9/4/2019,247,19.691
9/5/2019,248,16.312
9/6/2019,249,17.333
9/7/2019,250,4.857
9/8/2019,251,9.824
9/9/2019,252,8.353
9/10/2019,253,12.37
9/11/2019,254,13.925
9/12/2019,255,19.132
9/13/2019,256,14.758
9/14/2019,257,16.018
9/15/2019,258,2.766
9/16/2019,259,13.381
9/17/2019,260,5.024
9/18/2019,261,11.649
9/19/2019,262,15.437
9/20/2019,263,10.236
